popularity,original_title,director,runtime,production_companies,vote_count,vote_average,release_year,budget_adj,revenue_adj,genres
7.40416499999999,Minions,Kyle Balda|Pierre Coffin,91,Universal Pictures|Illumination Entertainment,2893,6.5,2015,68079970.0448131,1064192016.79551,Family
7.40416499999999,Minions,Kyle Balda|Pierre Coffin,91,Universal Pictures|Illumination Entertainment,2893,6.5,2015,68079970.0448131,1064192016.79551,Animation
7.40416499999999,Minions,Kyle Balda|Pierre Coffin,91,Universal Pictures|Illumination Entertainment,2893,6.5,2015,68079970.0448131,1064192016.79551,Adventure
7.40416499999999,Minions,Kyle Balda|Pierre Coffin,91,Universal Pictures|Illumination Entertainment,2893,6.5,2015,68079970.0448131,1064192016.79551,Comedy
6.326804,Inside Out,Pete Docter,94,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,3935,8.0,2015,160999929.160031,785411574.698907,Comedy
6.326804,Inside Out,Pete Docter,94,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,3935,8.0,2015,160999929.160031,785411574.698907,Animation
6.326804,Inside Out,Pete Docter,94,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,3935,8.0,2015,160999929.160031,785411574.698907,Family
6.200282,Spectre,Sam Mendes,148,Columbia Pictures|Danjaq|B24,3254,6.2,2015,225399900.824043,810220283.783075,Action
6.200282,Spectre,Sam Mendes,148,Columbia Pictures|Danjaq|B24,3254,6.2,2015,225399900.824043,810220283.783075,Adventure
6.200282,Spectre,Sam Mendes,148,Columbia Pictures|Danjaq|B24,3254,6.2,2015,225399900.824043,810220283.783075,Crime
6.189369,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,1937,5.2,2015,161919931.51523,169268630.681802,Science Fiction
6.189369,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,1937,5.2,2015,161919931.51523,169268630.681802,Fantasy
6.189369,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,1937,5.2,2015,161919931.51523,169268630.681802,Action
6.189369,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,124,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,1937,5.2,2015,161919931.51523,169268630.681802,Adventure
6.118847,Ex Machina,Alex Garland,108,DNA Films|Universal Pictures International (UPI)|Film4,2854,7.6,2015,13799993.9280026,33919845.9552677,Drama
6.118847,Ex Machina,Alex Garland,108,DNA Films|Universal Pictures International (UPI)|Film4,2854,7.6,2015,13799993.9280026,33919845.9552677,Science Fiction
5.984995,Pixels,Chris Columbus,105,Columbia Pictures|Happy Madison Productions,1575,5.8,2015,80959964.3776156,224146025.095748,Action
5.984995,Pixels,Chris Columbus,105,Columbia Pictures|Happy Madison Productions,1575,5.8,2015,80959964.3776156,224146025.095748,Comedy
5.984995,Pixels,Chris Columbus,105,Columbia Pictures|Happy Madison Productions,1575,5.8,2015,80959964.3776156,224146025.095748,Science Fiction
5.944927,Avengers: Age of Ultron,Joss Whedon,141,Marvel Studios|Prime Focus|Revolution Sun Studios,4304,7.4,2015,257599886.656049,1292632336.88177,Action
5.944927,Avengers: Age of Ultron,Joss Whedon,141,Marvel Studios|Prime Focus|Revolution Sun Studios,4304,7.4,2015,257599886.656049,1292632336.88177,Adventure
5.944927,Avengers: Age of Ultron,Joss Whedon,141,Marvel Studios|Prime Focus|Revolution Sun Studios,4304,7.4,2015,257599886.656049,1292632336.88177,Science Fiction
5.8984,The Hateful Eight,Quentin Tarantino,167,Double Feature Films|The Weinstein Company|FilmColony,2389,7.4,2015,40479982.1888078,143299244.588332,Crime
5.8984,The Hateful Eight,Quentin Tarantino,167,Double Feature Films|The Weinstein Company|FilmColony,2389,7.4,2015,40479982.1888078,143299244.588332,Drama
5.8984,The Hateful Eight,Quentin Tarantino,167,Double Feature Films|The Weinstein Company|FilmColony,2389,7.4,2015,40479982.1888078,143299244.588332,Mystery
5.8984,The Hateful Eight,Quentin Tarantino,167,Double Feature Films|The Weinstein Company|FilmColony,2389,7.4,2015,40479982.1888078,143299244.588332,Western
5.749758,Taken 3,Olivier Megaton,109,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+,1578,6.1,2015,44159980.5696085,299709578.207785,Crime
5.749758,Taken 3,Olivier Megaton,109,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+,1578,6.1,2015,44159980.5696085,299709578.207785,Action
5.749758,Taken 3,Olivier Megaton,109,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+,1578,6.1,2015,44159980.5696085,299709578.207785,Thriller
5.573184,Ant-Man,Peyton Reed,115,Marvel Studios,3779,7.0,2015,119599947.376023,477113780.029936,Science Fiction
5.573184,Ant-Man,Peyton Reed,115,Marvel Studios,3779,7.0,2015,119599947.376023,477113780.029936,Action
5.573184,Ant-Man,Peyton Reed,115,Marvel Studios,3779,7.0,2015,119599947.376023,477113780.029936,Adventure
5.556818,Cinderella,Kenneth Branagh,112,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,1495,6.8,2015,87399961.5440169,498963025.216268,Romance
5.556818,Cinderella,Kenneth Branagh,112,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,1495,6.8,2015,87399961.5440169,498963025.216268,Fantasy
5.556818,Cinderella,Kenneth Branagh,112,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,1495,6.8,2015,87399961.5440169,498963025.216268,Family
5.556818,Cinderella,Kenneth Branagh,112,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,1495,6.8,2015,87399961.5440169,498963025.216268,Drama
5.476958,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,2380,6.5,2015,147199935.232028,598481289.508232,War
5.476958,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,2380,6.5,2015,147199935.232028,598481289.508232,Adventure
5.476958,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,136,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,2380,6.5,2015,147199935.232028,598481289.508232,Science Fiction
5.462138,Tomorrowland,Brad Bird,130,Walt Disney Pictures|Babieka|A113,1899,6.2,2015,174799923.088033,192312729.942398,Action
5.462138,Tomorrowland,Brad Bird,130,Walt Disney Pictures|Babieka|A113,1899,6.2,2015,174799923.088033,192312729.942398,Family
5.462138,Tomorrowland,Brad Bird,130,Walt Disney Pictures|Babieka|A113,1899,6.2,2015,174799923.088033,192312729.942398,Science Fiction
5.462138,Tomorrowland,Brad Bird,130,Walt Disney Pictures|Babieka|A113,1899,6.2,2015,174799923.088033,192312729.942398,Adventure
5.462138,Tomorrowland,Brad Bird,130,Walt Disney Pictures|Babieka|A113,1899,6.2,2015,174799923.088033,192312729.942398,Mystery
5.337064,Southpaw,Antoine Fuqua,123,Escape Artists|Riche-Ludwig Productions,1386,7.3,2015,27599987.8560053,84373003.7158783,Action
5.337064,Southpaw,Antoine Fuqua,123,Escape Artists|Riche-Ludwig Productions,1386,7.3,2015,27599987.8560053,84373003.7158783,Drama
4.907832,San Andreas,Brad Peyton,114,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,2060,6.1,2015,101199955.472019,432851374.985395,Action
4.907832,San Andreas,Brad Peyton,114,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,2060,6.1,2015,101199955.472019,432851374.985395,Drama
4.907832,San Andreas,Brad Peyton,114,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,2060,6.1,2015,101199955.472019,432851374.985395,Thriller
4.71040199999999,Fifty Shades of Grey,Sam Taylor-Johnson,125,Focus Features|Trigger Street Productions|Michael De Luca Productions,1865,5.3,2015,36799983.8080071,524079119.045187,Drama
4.71040199999999,Fifty Shades of Grey,Sam Taylor-Johnson,125,Focus Features|Trigger Street Productions|Michael De Luca Productions,1865,5.3,2015,36799983.8080071,524079119.045187,Romance
4.648046,The Big Short,Adam McKay,130,Paramount Pictures|Plan B Entertainment|Regency Enterprises,1545,7.3,2015,25759988.6656049,122678731.541358,Comedy
4.648046,The Big Short,Adam McKay,130,Paramount Pictures|Plan B Entertainment|Regency Enterprises,1545,7.3,2015,25759988.6656049,122678731.541358,Drama
4.566713,Mission: Impossible - Rogue Nation,Christopher McQuarrie,131,Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions,2349,7.1,2015,137999939.280026,627743451.672881,Action
4.564549,Ted 2,Seth MacFarlane,115,Universal Pictures|Media Rights Capital|Fuzzy Door Productions,1666,6.3,2015,62559972.4736121,198594430.13845,Comedy
4.503789,Kingsman: The Secret Service,Matthew Vaughn,130,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,3833,7.6,2015,74519967.2112144,371497801.660967,Crime
4.503789,Kingsman: The Secret Service,Matthew Vaughn,130,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,3833,7.6,2015,74519967.2112144,371497801.660967,Comedy
4.503789,Kingsman: The Secret Service,Matthew Vaughn,130,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,3833,7.6,2015,74519967.2112144,371497801.660967,Action
4.503789,Kingsman: The Secret Service,Matthew Vaughn,130,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,3833,7.6,2015,74519967.2112144,371497801.660967,Adventure
4.062293,Spotlight,Tom McCarthy,128,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,1559,7.8,2015,18399991.9040035,81278719.3973634,Drama
4.062293,Spotlight,Tom McCarthy,128,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,1559,7.8,2015,18399991.9040035,81278719.3973634,Thriller
4.062293,Spotlight,Tom McCarthy,128,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,1559,7.8,2015,18399991.9040035,81278719.3973634,History
3.968891,Maze Runner: The Scorch Trials,Wes Ball,132,Gotham Group|Temple Hill Entertainment|TSG Entertainment,1849,6.4,2015,56119975.3072108,286356245.923251,Action
3.968891,Maze Runner: The Scorch Trials,Wes Ball,132,Gotham Group|Temple Hill Entertainment|TSG Entertainment,1849,6.4,2015,56119975.3072108,286356245.923251,Science Fiction
3.968891,Maze Runner: The Scorch Trials,Wes Ball,132,Gotham Group|Temple Hill Entertainment|TSG Entertainment,1849,6.4,2015,56119975.3072108,286356245.923251,Thriller
3.927333,Mr. Holmes,Bill Condon,103,BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film,425,6.4,2015,0.0,27006774.877019,Mystery
3.927333,Mr. Holmes,Bill Condon,103,BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film,425,6.4,2015,0.0,27006774.877019,Drama
3.899557,Chappie,Neill Blomkamp,120,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,1990,6.6,2015,45079980.1648087,93903685.2423785,Crime
3.899557,Chappie,Neill Blomkamp,120,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,1990,6.6,2015,45079980.1648087,93903685.2423785,Action
3.899557,Chappie,Neill Blomkamp,120,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,1990,6.6,2015,45079980.1648087,93903685.2423785,Science Fiction
3.877764,Pitch Perfect 2,Elizabeth Banks,115,Universal Pictures|Gold Circle Films|Brownstone Productions,1264,6.8,2015,26679988.2608051,264505582.097543,Comedy
3.877764,Pitch Perfect 2,Elizabeth Banks,115,Universal Pictures|Gold Circle Films|Brownstone Productions,1264,6.8,2015,26679988.2608051,264505582.097543,Music
3.64821,Bridge of Spies,Steven Spielberg,141,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,1638,7.1,2015,36799983.8080071,149601569.335309,Thriller
3.64821,Bridge of Spies,Steven Spielberg,141,DreamWorks SKG|Amblin Entertainment|Studio Babelsberg|Fox 2000 Pictures|Marc Platt Productions,1638,7.1,2015,36799983.8080071,149601569.335309,Drama
3.644541,Goosebumps,Rob Letterman,103,Columbia Pictures|Original Film|Scholastic Entertainment,600,6.2,2015,53359976.5216103,138157089.01088,Adventure
3.644541,Goosebumps,Rob Letterman,103,Columbia Pictures|Original Film|Scholastic Entertainment,600,6.2,2015,53359976.5216103,138157089.01088,Horror
3.644541,Goosebumps,Rob Letterman,103,Columbia Pictures|Original Film|Scholastic Entertainment,600,6.2,2015,53359976.5216103,138157089.01088,Comedy
3.557846,Room,Lenny Abrahamson,117,Element Pictures|No Trace Camping|A24|Duperele Films,1520,8.0,2015,5519997.57120106,32569603.0293746,Drama
3.557846,Room,Lenny Abrahamson,117,Element Pictures|No Trace Camping|A24|Duperele Films,1520,8.0,2015,5519997.57120106,32569603.0293746,Thriller
3.358321,Solace,Afonso Poyart,101,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company,474,6.2,2015,0.0,20566197.1908732,Crime
3.358321,Solace,Afonso Poyart,101,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company,474,6.2,2015,0.0,20566197.1908732,Drama
3.358321,Solace,Afonso Poyart,101,Eden Rock Media|FilmNation Entertainment|Flynn Picture Company,474,6.2,2015,0.0,20566197.1908732,Mystery
3.339135,The Good Dinosaur,Peter Sohn,93,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,1087,6.6,2015,160999929.160031,305371920.876354,Adventure
3.339135,The Good Dinosaur,Peter Sohn,93,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,1087,6.6,2015,160999929.160031,305371920.876354,Animation
3.339135,The Good Dinosaur,Peter Sohn,93,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,1087,6.6,2015,160999929.160031,305371920.876354,Comedy
3.339135,The Good Dinosaur,Peter Sohn,93,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,1087,6.6,2015,160999929.160031,305371920.876354,Family
3.339135,The Good Dinosaur,Peter Sohn,93,Walt Disney Pictures|Pixar Animation Studios|Buena Vista,1087,6.6,2015,160999929.160031,305371920.876354,Fantasy
3.23737,Run All Night,Jaume Collet-Serra,114,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,814,6.3,2015,45999979.7600089,65836683.5118592,Action
3.23737,Run All Night,Jaume Collet-Serra,114,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,814,6.3,2015,45999979.7600089,65836683.5118592,Crime
3.23737,Run All Night,Jaume Collet-Serra,114,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,814,6.3,2015,45999979.7600089,65836683.5118592,Drama
3.23737,Run All Night,Jaume Collet-Serra,114,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,814,6.3,2015,45999979.7600089,65836683.5118592,Mystery
3.23737,Run All Night,Jaume Collet-Serra,114,Vertigo Entertainment|Energy Entertainment|RatPac-Dune Entertainment,814,6.3,2015,45999979.7600089,65836683.5118592,Thriller
3.227329,Brooklyn,John Crowley,111,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,754,7.3,2015,10119995.5472019,57110024.5915891,Drama
3.227329,Brooklyn,John Crowley,111,Wildgaze Films|Irish Film Board|Item 7|Parallel Film Productions,754,7.3,2015,10119995.5472019,57110024.5915891,Romance
3.202719,Straight Outta Compton,F. Gary Gray,147,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,918,7.7,2015,25759988.6656049,185504110.098191,Drama
3.202719,Straight Outta Compton,F. Gary Gray,147,New Line Cinema|Universal Pictures|Legendary Pictures|Cube Vision|Broken Chair Flickz,918,7.7,2015,25759988.6656049,185504110.098191,Music
3.080505,The Last Witch Hunter,Breck Eisner,106,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,879,5.6,2015,82799963.568016,129164861.167461,Fantasy
3.080505,The Last Witch Hunter,Breck Eisner,106,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,879,5.6,2015,82799963.568016,129164861.167461,Action
3.080505,The Last Witch Hunter,Breck Eisner,106,Summit Entertainment|Atmosphere Entertainment MM|One Race Films|Goldmann Pictures|NeoReel,879,5.6,2015,82799963.568016,129164861.167461,Adventure
3.079522,Steve Jobs,Danny Boyle,122,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,1035,6.9,2015,27599987.8560053,31686509.2179359,History
3.079522,Steve Jobs,Danny Boyle,122,Universal Pictures|Scott Rudin Productions|Legendary Pictures|The Mark Gordon Company|Management 360,1035,6.9,2015,27599987.8560053,31686509.2179359,Drama
3.053421,The Man from U.N.C.L.E.,Guy Ritchie,116,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,1548,7.0,2015,68999969.6400133,99493456.5028791,Comedy
3.053421,The Man from U.N.C.L.E.,Guy Ritchie,116,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,1548,7.0,2015,68999969.6400133,99493456.5028791,Action
3.053421,The Man from U.N.C.L.E.,Guy Ritchie,116,Davis Entertainment|Warner Bros.|Wigram Productions|RatPac-Dune Entertainment,1548,7.0,2015,68999969.6400133,99493456.5028791,Adventure
3.025852,The Age of Adaline,Lee Toland Krieger,112,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,1221,7.3,2015,22999989.8800044,39219376.6634742,Fantasy
3.025852,The Age of Adaline,Lee Toland Krieger,112,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,1221,7.3,2015,22999989.8800044,39219376.6634742,Drama
3.025852,The Age of Adaline,Lee Toland Krieger,112,Lakeshore Entertainment|Sidney Kimmel Entertainment|Sierra/Affinity,1221,7.3,2015,22999989.8800044,39219376.6634742,Romance
3.023253,Hardcore Henry,Ilya Naishuller,97,Bazelevs Production|Versus Pictures,396,5.9,2015,9199995.95200178,13187080.9976843,Action
3.023253,Hardcore Henry,Ilya Naishuller,97,Bazelevs Production|Versus Pictures,396,5.9,2015,9199995.95200178,13187080.9976843,Adventure
3.023253,Hardcore Henry,Ilya Naishuller,97,Bazelevs Production|Versus Pictures,396,5.9,2015,9199995.95200178,13187080.9976843,Science Fiction
2.976436,Home,Tim Johnson,94,Twentieth Century Fox Film Corporation|DreamWorks Animation,1060,6.9,2015,124199945.352024,339361177.121082,Fantasy
2.976436,Home,Tim Johnson,94,Twentieth Century Fox Film Corporation|DreamWorks Animation,1060,6.9,2015,124199945.352024,339361177.121082,Comedy
2.976436,Home,Tim Johnson,94,Twentieth Century Fox Film Corporation|DreamWorks Animation,1060,6.9,2015,124199945.352024,339361177.121082,Animation
2.976436,Home,Tim Johnson,94,Twentieth Century Fox Film Corporation|DreamWorks Animation,1060,6.9,2015,124199945.352024,339361177.121082,Science Fiction
2.976436,Home,Tim Johnson,94,Twentieth Century Fox Film Corporation|DreamWorks Animation,1060,6.9,2015,124199945.352024,339361177.121082,Family
2.968254,Paper Towns,Jake Schreier,109,Fox 2000 Pictures,1252,6.2,2015,11039995.1424021,78671281.3846362,Drama
2.968254,Paper Towns,Jake Schreier,109,Fox 2000 Pictures,1252,6.2,2015,11039995.1424021,78671281.3846362,Mystery
2.968254,Paper Towns,Jake Schreier,109,Fox 2000 Pictures,1252,6.2,2015,11039995.1424021,78671281.3846362,Romance
2.93234,Wild Card,Simon West,92,Current Entertainment|Lionsgate|Sierra / Affinity|SJ Heat Productions|Silver State Production Services,481,5.3,2015,27599987.8560053,0.0,Thriller
2.93234,Wild Card,Simon West,92,Current Entertainment|Lionsgate|Sierra / Affinity|SJ Heat Productions|Silver State Production Services,481,5.3,2015,27599987.8560053,0.0,Crime
2.93234,Wild Card,Simon West,92,Current Entertainment|Lionsgate|Sierra / Affinity|SJ Heat Productions|Silver State Production Services,481,5.3,2015,27599987.8560053,0.0,Drama
2.885126,The Lobster,Yorgos Lanthimos,118,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,638,6.6,2015,3679998.38080071,8339346.45068756,Thriller
2.885126,The Lobster,Yorgos Lanthimos,118,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,638,6.6,2015,3679998.38080071,8339346.45068756,Comedy
2.885126,The Lobster,Yorgos Lanthimos,118,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,638,6.6,2015,3679998.38080071,8339346.45068756,Drama
2.885126,The Lobster,Yorgos Lanthimos,118,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,638,6.6,2015,3679998.38080071,8339346.45068756,Romance
2.885126,The Lobster,Yorgos Lanthimos,118,Haut et Court|Eurimages|Lemming Film|Element Pictures|Nederlands Fonds voor de Film,638,6.6,2015,3679998.38080071,8339346.45068756,Science Fiction
2.883233,Carol,Todd Haynes,118,Killer Films|Film4|Number 9 Films,562,7.1,2015,10855995.2233621,37050347.8978469,Romance
2.883233,Carol,Todd Haynes,118,Killer Films|Film4|Number 9 Films,562,7.1,2015,10855995.2233621,37050347.8978469,Drama
2.814802,The Intern,Nancy Meyers,121,Waverly Films|Warner Bros.,1255,7.1,2015,32199985.8320062,178999419.480255,Comedy
2.798017,Everest,Baltasar KormÃ¡kur,121,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,1172,6.7,2015,50599977.7360098,187153294.93255,Adventure
2.798017,Everest,Baltasar KormÃ¡kur,121,Universal Pictures|Working Title Films|Walden Media|Cross Creek Pictures|Free State Pictures,1172,6.7,2015,50599977.7360098,187153294.93255,Drama
2.793297,Joy,David O. Russell,124,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,1001,6.4,2015,55199975.7120106,93043293.3409509,Comedy
2.793297,Joy,David O. Russell,124,Fox 2000 Pictures|Davis Entertainment|Annapurna Pictures|TSG Entertainment,1001,6.4,2015,55199975.7120106,93043293.3409509,Drama
